SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,161 W 9th St #6,Azusa,CA,91702,341000,2,2.0,607 - Azusa,929,20879,1986,8,367,208,Active,,,http://www.redfin.com/CA/Azusa/161-W-9th-St-91702/unit-6/home/8015511,CRMLS,BB20102670,N,Y,34.1375067,-117.9083975
MLS Listing,,Condo/Co-op,1230 S Barranca Ave Unit F,Glendora,CA,91740,409000,2,2.5,629 - Glendora,1251,234180,1984,11,327,300,Active,,,http://www.redfin.com/CA/Glendora/1200-1230-Barranca-Ave-91740/unit-F/home/8026653,CRMLS,PF20099979,N,Y,34.1174994,-117.8811792
MLS Listing,,Single Family Residential,614 E Camellia Way,Azusa,CA,91702,1748000,5,4.5,Azusa,5137,11099,2016,1,340,139,Active,,,http://www.redfin.com/CA/Azusa/614-E-Camellia-Way-91702/home/108610949,PFAR,820002069,N,Y,34.1481947,-117.8983298
MLS Listing,,Mobile/Manufactured Home,840 E FOOTHILL Blvd #196,Azusa,CA,91702,120000,2,1.75,607 - Azusa,1248,,1990,1,96,,Active,,,http://www.redfin.com/CA/Azusa/840-E-Foothill-Blvd-91702/unit-196/home/58644214,CRMLS,CV20108726,N,Y,34.1324698,-117.8914431
MLS Listing,,Condo/Co-op,324 W Saint Andrews Ln,Azusa,CA,91702,429900,3,2.0,607 - Azusa,1168,270072,1973,1,368,395,Active,,,http://www.redfin.com/CA/Azusa/324-St-Andrews-Ln-91702/home/8020331,CRMLS,CV20107837,N,Y,34.1439722,-117.9099563
MLS Listing,,Single Family Residential,18657 E Laxford Rd,Covina,CA,91722,595000,4,3.0,614 - Covina,2146,7686,1956,2,277,,Active,,,http://www.redfin.com/CA/Covina/18657-E-Laxford-Rd-91722/home/8026003,CRMLS,CV20107724,N,Y,34.1091858,-117.8864738
MLS Listing,,Single Family Residential,1223 Sunflower Ave,Glendora,CA,91740,650000,4,2.0,629 - Glendora,1430,8321,1961,2,455,,Active,,,http://www.redfin.com/CA/Glendora/1223-S-Sunflower-Ave-91740/home/8031050,CRMLS,IG20107522,N,Y,34.1166791,-117.8466427
MLS Listing,,Single Family Residential,735 Invergarry St,Glendora,CA,91741,639000,3,2.0,629 - Glendora,1242,8210,1961,2,514,,Active,,,http://www.redfin.com/CA/Glendora/735-W-Invergarry-St-91741/home/8027429,CRMLS,CV20107140,N,Y,34.1329626,-117.8776384
MLS Listing,,Condo/Co-op,365 S Glendora Ave,Glendora,CA,91741,578800,3,3.25,629 - Glendora,1656,16247,2014,3,350,286,Active,,,http://www.redfin.com/CA/Glendora/365-S-Glendora-Ave-91741/home/51587544,CRMLS,CV20106219,N,Y,34.1317987,-117.8653715
MLS Listing,,Single Family Residential,917 Ashworth Pl,Glendora,CA,91741,530000,3,2.0,629 - Glendora,1357,4299,1977,3,391,220,Active,,,http://www.redfin.com/CA/Glendora/917-Ashworth-Pl-91741/home/8023936,CRMLS,CV20105912,N,Y,34.138228,-117.8823079
MLS Listing,,Single Family Residential,420 W Meda Ave,Glendora,CA,91741,649000,4,3.0,629 - Glendora,2000,9675,1950,3,325,,Active,,,http://www.redfin.com/CA/Glendora/420-W-Meda-Ave-91741/home/8029330,CRMLS,DW20106468,N,Y,34.1383107,-117.8709303
MLS Listing,,Townhouse,1215 N San Gabriel Ave #104,Azusa,CA,91702,385000,2,3.0,607 - Azusa,951,270072,1992,3,405,200,Active,,,http://www.redfin.com/CA/Azusa/1215-N-San-Gabriel-Ave-91702/unit-104/home/8020435,CRISNet,SR20106270,N,Y,34.1453106,-117.9102449
MLS Listing,,Single Family Residential,234 Plum Tree Dr,Azusa,CA,91702,545000,3,2.5,607 - Azusa,1657,53218,1996,4,329,150,Active,,,http://www.redfin.com/CA/Azusa/234-Plum-Tree-Dr-91702/home/8015582,CRMLS,TR20105947,N,Y,34.1341939,-117.9096163
MLS Listing,,Condo/Co-op,1103 Lakeview Ter,Azusa,CA,91702,479000,2,2.0,607 - Azusa,1347,,1981,4,356,407,Active,,,http://www.redfin.com/CA/Azusa/1103-Lakeview-Ter-91702/home/8014948,CRMLS,WS20105788,N,Y,34.140106,-117.898972
MLS Listing,,Townhouse,687 W Point O Woods Dr,Azusa,CA,91702,380000,2,1.5,607 - Azusa,800,175552,1977,4,475,350,Active,,,http://www.redfin.com/CA/Azusa/687-W-Point-O-Woods-Dr-91702/home/8020235,CRMLS,WS20105407,N,Y,34.144273,-117.914617
MLS Listing,,Single Family Residential,16514 E Nubia St,Covina,CA,91722,515000,3,1.0,614 - Covina,1065,5477,1955,4,484,,Active,,,http://www.redfin.com/CA/Covina/16514-E-Nubia-St-91722/home/7927070,CRMLS,PW20105357,N,Y,34.1034822,-117.9248315
MLS Listing,,Mobile/Manufactured Home,840 E FOOTHILL Blvd #106,Azusa,CA,91702,75000,2,1.0,607 - Azusa,800,,1969,5,94,,Active,,,http://www.redfin.com/CA/Azusa/840-E-Foothill-Blvd-91702/unit-106/home/171964178,CRMLS,CV20103957,N,Y,34.1329542,-117.8913066
MLS Listing,,Single Family Residential,1143 N Fairvalley Ave,Covina,CA,91722,658000,4,2.5,614 - Covina,1566,6689,1954,5,420,,Active,,,http://www.redfin.com/CA/Covina/1143-N-Fairvalley-Ave-91722/home/7925239,CRMLS,DW20103509,N,Y,34.10035,-117.8855582
MLS Listing,,Townhouse,825 E Cassia Ln Unit E,Azusa,CA,91702,458000,2,2.5,Azusa,1302,28363,2012,5,352,329,Active,,,http://www.redfin.com/CA/Azusa/825-Cassia-Ln-91702/unit-E/home/51587742,TheMLS,20-584796,N,Y,34.137388,-117.893939
MLS Listing,,Single Family Residential,4940 N Grand Ave,Covina,CA,91724,508000,3,1.0,614 - Covina,1040,7410,1954,5,488,,Active,,,http://www.redfin.com/CA/Covina/4940-N-Grand-Ave-91724/home/7924584,CRMLS,CV20103021,N,Y,34.1023387,-117.8722363
MLS Listing,,Condo/Co-op,717 S Azusa Ave Unit B,Azusa,CA,91702,465000,2,2.0,607 - Azusa,1170,27053,2016,5,397,286,Active,,,http://www.redfin.com/CA/Azusa/717-S-Azusa-Ave-91702/unit-B/home/95081441,CRMLS,EV20104602,N,Y,34.1102831,-117.9095864
MLS Listing,,Single Family Residential,4854 N Darfield Ave,Covina,CA,91724,699888,4,2.5,614 - Covina,2200,7349,1956,5,318,,Active,,,http://www.redfin.com/CA/Covina/4854-N-Darfield-Ave-91724/home/7923864,CRMLS,CV20102390,N,Y,34.1009947,-117.8565555
MLS Listing,,Single Family Residential,1371 N Eastbury Ave,Covina,CA,91722,539900,3,1.0,614 - Covina,1027,5944,1955,6,526,,Active,,,http://www.redfin.com/CA/Covina/1371-N-Eastbury-Ave-91722/home/7926185,CRMLS,CV20104100,N,Y,34.1045716,-117.9023122
MLS Listing,,Condo/Co-op,4900 N Grand Ave #143,Covina,CA,91724,331900,2,2.0,614 - Covina,1270,123136,1984,6,261,412,Active,,,http://www.redfin.com/CA/Covina/4900-N-Grand-Ave-91724/unit-143/home/7924688,CRMLS,TR20103876,N,Y,34.1020309,-117.8719387
MLS Listing,,Single Family Residential,714 Poplar View Dr,Azusa,CA,91702,529900,3,3.0,607 - Azusa,1657,69433,1996,7,320,160,Active,,,http://www.redfin.com/CA/Azusa/714-Poplar-View-Dr-91702/home/8015575,CRISNet,SR20103571,N,Y,34.1343191,-117.9104956
MLS Listing,,Single Family Residential,417 Bettyhill Ave,Duarte,CA,91010,699900,3,1.75,617 - Duarte,1678,7719,1954,7,417,,Active,,,http://www.redfin.com/CA/Duarte/417-Bettyhill-Ave-91010/home/8013167,CRMLS,MB20103555,N,Y,34.1475226,-117.9421539
MLS Listing,,Single Family Residential,735 E 1st St,Azusa,CA,91702,560000,4,2.0,607 - Azusa,1967,5993,1956,8,285,,Active,,,http://www.redfin.com/CA/Azusa/735-E-1st-St-91702/home/8023903,CRMLS,CV20103150,N,Y,34.121875,-117.894621
MLS Listing,,Townhouse,337 N Edenfield Ave,Azusa,CA,91702,538000,3,2.0,607 - Azusa,1500,15000,2018,8,359,218,Active,,,http://www.redfin.com/CA/Azusa/337-N-Edenfield-Ave-91702/home/145839530,CRMLS,AR20103065,N,Y,34.127273,-117.892513
MLS Listing,,Single Family Residential,781 Brown Sage Dr,Glendora,CA,91741,1285000,6,2.75,Glendora,3868,13954,1976,8,332,,Active,,,http://www.redfin.com/CA/Glendora/781-Brown-Sage-Dr-91741/home/8028460,TheMLS,20-583744,N,Y,34.1493331,-117.8676123
MLS Listing,,Single Family Residential,834 E Sierra Madre,Glendora,CA,91741,670000,5,3.0,699 - Not Defined,1931,12656,1925,9,347,,Active,,,http://www.redfin.com/CA/Glendora/834-E-Sierra-Madre-Ave-91741/home/8034255,CRMLS,CV20070127,N,Y,34.146682,-117.849904
MLS Listing,,Condo/Co-op,920 Clementine Ct Unit C,Azusa,CA,91702,510000,2,3.0,607 - Azusa,1264,40000,2018,9,403,267,Active,,,http://www.redfin.com/CA/Azusa/920-Clementine-Ct-91702/unit-C/home/167815896,CRMLS,AR20100751,N,Y,34.137416,-117.892156
MLS Listing,,Mobile/Manufactured Home,1630 S Barranca Ave #146,Glendora,CA,91740,70000,2,2.0,629 - Glendora,1440,,1968,9,49,,Active,,,http://www.redfin.com/CA/Glendora/1630-Barranca-Ave-91740/unit-146/home/171922729,CRMLS,CV20101676,N,Y,34.1094029,-117.8790912
MLS Listing,,Single Family Residential,17003 E Groverdale St,Covina,CA,91722,489999,3,2.0,614 - Covina,1104,5835,1954,10,444,,Active,,,http://www.redfin.com/CA/Covina/17003-E-Groverdale-St-91722/home/7926675,CRMLS,CV20101457,N,Y,34.1029599,-117.9163642
MLS Listing,,Single Family Residential,1419 N Sunset Ave,Azusa,CA,91702,625000,3,2.0,607 - Azusa,1556,7131,1956,11,402,,Active,,,http://www.redfin.com/CA/Azusa/1419-N-Sunset-Ave-91702/home/8048757,CRMLS,AR20099013,N,Y,34.1477739,-117.911604
MLS Listing,,Single Family Residential,524 E Whitcomb Ave,Glendora,CA,91741,729800,3,2.0,629 - Glendora,1602,8758,1949,11,456,,Active,,,http://www.redfin.com/CA/Glendora/524-E-Whitcomb-Ave-91741/home/8033931,CRMLS,CV20100065,N,Y,34.1412752,-117.8583066
MLS Listing,,Townhouse,326 N Calvados Ave,Azusa,CA,91702,549000,4,4.0,607 - Azusa,1846,11689,2017,11,297,220,Active,,,http://www.redfin.com/CA/Azusa/326-N-Calvados-Ave-91702/home/144369221,CRMLS,WS20100483,N,Y,34.126662,-117.8921801
MLS Listing,,Townhouse,760 S Azusa Ave Unit C,Azusa,CA,91702,446800,3,2.5,607 - Azusa,1411,59042,2007,11,317,180,Active,,,http://www.redfin.com/CA/Azusa/760-S-Azusa-Ave-91702/unit-C/home/17230838,CRMLS,TR20090424,N,Y,34.109409,-117.90692
MLS Listing,,Townhouse,858 Iris Way Unit A,Azusa,CA,91702,550000,3,2.5,607 - Azusa,1491,,2018,11,369,297,Active,,,http://www.redfin.com/CA/Azusa/858-Iris-Way-91702/unit-A/home/167815853,CRMLS,AR20099884,N,Y,34.137046,-117.892066
MLS Listing,,Single Family Residential,271 N Clementine Ct,Glendora,CA,91741,1283990,4,4.5,629 - Glendora,3941,23133,2018,11,326,370,Active,,,http://www.redfin.com/CA/Glendora/271-Clementine-Ct-91741/home/110092965,CRMLS,OC20100162,N,Y,34.1396102,-117.8867942
MLS Listing,,Single Family Residential,157 N Worthy Dr,Glendora,CA,91741,948888,4,3.0,629 - Glendora,2546,10258,1990,11,373,,Active,,,http://www.redfin.com/CA/Glendora/157-N-Worthy-Dr-91741/home/8037838,CRMLS,CV20098210,N,Y,34.1378042,-117.8460016
MLS Listing,,Single Family Residential,577 W Alcross St,Covina,CA,91722,519000,3,1.0,614 - Covina,1048,6753,1955,13,495,,Active,,,http://www.redfin.com/CA/Covina/577-W-Alcross-St-91722/home/7926162,CRMLS,CV20099418,N,Y,34.1061005,-117.9009848
MLS Listing,,Mobile/Manufactured Home,1380 N Citrus Ave Unit D-14,Covina,CA,91722,58000,2,2.0,614 - Covina,960,,1981,14,60,,Active,,,http://www.redfin.com/CA/Covina/1380-N-Citrus-Ave-91722/unit-D-14/home/167132858,CRMLS,WS20098361,N,Y,34.1043022,-117.8892859
MLS Listing,,Single Family Residential,600 W Paramount St,Azusa,CA,91702,950000,10,7.0,Azusa,4369,24334,1910,15,217,,Active,,,http://www.redfin.com/CA/Azusa/600-W-Paramount-St-91702/home/113654266,TheMLS,20-581778,N,Y,34.1177025,-117.9138697
MLS Listing,,Single Family Residential,500 E Oak Ct,Azusa,CA,91702,1150000,5,4.0,607 - Azusa,3450,8034,2011,15,333,139,Active,,,http://www.redfin.com/CA/Azusa/500-E-Oak-Ct-91702/home/22401017,CRMLS,CV20097981,N,Y,34.1452048,-117.9019428
MLS Listing,,Townhouse,869 Orchid Way Unit D,Azusa,CA,91702,559000,3,3.0,607 - Azusa,1655,1655,2018,16,338,297,Active,,,http://www.redfin.com/CA/Azusa/869-Orchid-Way-91702/unit-D/home/167815817,CRISNet,SR20096763,N,Y,34.1377434,-117.8912559
MLS Listing,,Single Family Residential,286 N Baldy Vis,Glendora,CA,91741,1520990,4,4.5,629 - Glendora,4472,20002,2017,17,340,353,Active,,,http://www.redfin.com/CA/Glendora/286-N-Baldy-Vista-Ave-91741/home/160361586,CRMLS,OC20096396,N,Y,34.1393433,-117.8874931
MLS Listing,,Condo/Co-op,1126 W Calle De La Luna #3,Azusa,CA,91702,312800,2,1.0,607 - Azusa,836,26944,1977,17,374,245,Active,,,http://www.redfin.com/CA/Azusa/1126-W-Cll-de-la-Luna-91702/unit-3/home/8019735,CRMLS,WS20096102,N,Y,34.1448245,-117.9234397
MLS Listing,,Condo/Co-op,641 W Foothill Blvd #63,Glendora,CA,91741,634990,3,2.5,629 - Glendora,1830,30000,2018,18,347,239,Active,,,http://www.redfin.com/CA/Glendora/641-W-Foothill-Blvd-91741/unit-63/home/143520260,CRMLS,WS20095937,N,Y,34.136267,-117.876395
MLS Listing,,Single Family Residential,1454 N Hilltop Dr,Azusa,CA,91702,699950,3,2.5,607 - Azusa,1822,8581,1981,18,384,,Active,,,http://www.redfin.com/CA/Azusa/1454-N-Hilltop-Dr-91702/home/8048889,CRMLS,CV20094459,N,Y,34.1475491,-117.9069811
MLS Listing,,Townhouse,491 Marc Pl Unit G,Azusa,CA,91702,608000,4,3.5,607 - Azusa,1918,21156,2018,18,317,217,Active,,,http://www.redfin.com/CA/Azusa/491-Marc-Pl-91702/unit-G/home/143520111,CRMLS,AR20095811,N,Y,34.107785,-117.902041
MLS Listing,,Single Family Residential,18362 E Ghent St,Azusa,CA,91702,525000,3,1.0,607 - Azusa,1443,6292,1954,18,364,,Active,,,http://www.redfin.com/CA/Azusa/18362-E-Ghent-St-91702/home/8023179,CRMLS,CV20095647,N,Y,34.114812,-117.893455
MLS Listing,,Condo/Co-op,1106 W Calle De Las Estrellas #4,Azusa,CA,91702,298900,2,1.0,607 - Azusa,771,34609,1977,18,388,245,Active,,,http://www.redfin.com/CA/Azusa/1106-W-Calle-De-Las-Estrellas-91702/unit-4/home/8019817,CRMLS,CV20095281,N,Y,34.1456741,-117.9232648
MLS Listing,,Condo/Co-op,856 E Mountain Way Unit B,Azusa,CA,91702,440000,2,2.0,607 - Azusa,1355,34299,2012,19,325,328,Active,,,http://www.redfin.com/CA/Azusa/856-E-Mountain-Way-91702/unit-B/home/51587720,CRMLS,CV20094639,N,Y,34.138738,-117.892031
MLS Listing,,Condo/Co-op,901 N Purple Sage Dr Unit D,Azusa,CA,91702,469900,2,2.25,607 - Azusa,1528,,2014,19,308,328,Active,,,http://www.redfin.com/CA/Azusa/901-N-Purple-Sage-Dr-91702/unit-D/home/79039487,CRMLS,AR20094108,N,Y,34.137233,-117.895524
MLS Listing,,Single Family Residential,900 N Soldano Ave,Azusa,CA,91702,515000,3,1.0,607 - Azusa,1000,7393,1924,21,515,,Active,,,http://www.redfin.com/CA/Azusa/900-N-Soldano-Ave-91702/home/8015391,CRMLS,CV20093754,N,Y,34.1373791,-117.903365
MLS Listing,,Single Family Residential,1303 Sunflower Ave,Glendora,CA,91740,868000,5,4.0,629 - Glendora,2816,8574,1961,21,308,,Active,,,http://www.redfin.com/CA/Glendora/1303-S-Sunflower-Ave-91740/home/8031072,CRMLS,CV20090038,N,Y,34.1157713,-117.8466656
MLS Listing,,Single Family Residential,421 N Cullen Ave,Glendora,CA,91741,525000,1,1.0,629 - Glendora,576,5145,1925,21,911,,Active,,,http://www.redfin.com/CA/Glendora/421-N-Cullen-Ave-91741/home/8033792,CRMLS,IV20091086,N,Y,34.1421851,-117.8595086
